Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
NP005,REG_ISAN20,X13,2.8830000000,0.2490000000,1.0020000000,0.3520000000,0.6940000000,0.4930000000,1.5640000000,1.7890000000,0.7820000000,1.6590000000,1.3410000000,1.2600000000,,3.6250000000,0.0002000000,4.7640000000,0.0000000000,5.4400000000,0.0000000000,46.6010000000,0.0000000000,REJECTED
NP006,REG_ISAN20,X13,3.0000000000,0.5020000000,0.7130000000,1.0050000000,1.0490000000,0.3330000000,2.2510000000,1.6840000000,0.4220000000,2.2360000000,2.1200000000,1.4900000000,,1.9000000000,0.0451000000,2.3280000000,0.0117000000,5.5320000000,0.0000000000,52.5790000000,0.0000000000,REJECTED
FU016,REG_ISAN20,X13,3.0000000000,2.2000000000,0.6030000000,0.6280000000,3.0000000000,0.3980000000,2.4220000000,2.1860000000,0.6940000000,3.0000000000,3.0000000000,1.8600000000,,1.4800000000,0.1466000000,2.0090000000,0.0318000000,5.5210000000,0.0000000000,25.0000000000,0.0091000000,REJECTED
FU017,REG_ISAN20,X13,3.0000000000,3.0000000000,1.8840000000,0.0500000000,3.0000000000,0.6260000000,1.8270000000,2.4810000000,0.7490000000,2.9220000000,2.7030000000,1.8700000000,,1.3330000000,0.2138000000,1.6010000000,0.1046000000,1.2300000000,0.2746000000,16.2170000000,0.1333000000,REJECTED
FP016,REG_ISAN20,X13,1.3870000000,0.7730000000,0.0150000000,3.0000000000,3.0000000000,0.0850000000,2.6070000000,2.7160000000,0.1780000000,3.0000000000,3.0000000000,1.8300000000,,1.1540000000,0.3260000000,1.1950000000,0.2959000000,3.0810000000,0.0011000000,49.2220000000,0.0000000000,REJECTED
FP017,REG_ISAN20,X13,0.7040000000,0.8520000000,0.0000000000,1.6070000000,3.0000000000,0.3780000000,2.6270000000,2.7690000000,0.0780000000,3.0000000000,3.0000000000,1.6600000000,,1.1100000000,0.3590000000,1.4570000000,0.1545000000,6.8400000000,0.0000000000,57.0110000000,0.0000000000,REJECTED
FP018,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP019,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP020,REG_ISAN20,X13,2.1020000000,1.7780000000,0.7680000000,0.8540000000,3.0000000000,0.3380000000,2.9580000000,2.2470000000,1.3000000000,3.0000000000,3.0000000000,1.9500000000,,1.1620000000,0.3198000000,0.8230000000,0.6168000000,5.2540000000,0.0000000000,13.3160000000,0.2732000000,REJECTED
FP021,REG_ISAN20,X13,2.0010000000,1.2200000000,0.2220000000,1.0800000000,3.0000000000,0.1440000000,2.7490000000,1.9430000000,1.7640000000,3.0000000000,3.0000000000,1.8500000000,,1.0360000000,0.4191000000,1.1450000000,0.3313000000,10.2530000000,0.0000000000,23.6230000000,0.0144000000,REJECTED
FP022,REG_ISAN20,X13,3.0000000000,2.4870000000,0.7630000000,1.3810000000,3.0000000000,0.1670000000,2.4720000000,2.5530000000,0.5710000000,2.9110000000,2.6560000000,1.9300000000,,1.1800000000,0.3074000000,1.1810000000,0.3055000000,2.4760000000,0.0078000000,31.8940000000,0.0008000000,REJECTED
FP023,REG_ISAN20,X13,3.0000000000,1.0060000000,1.0570000000,0.0250000000,0.9870000000,0.6740000000,1.3590000000,1.0280000000,0.8360000000,1.0330000000,0.9870000000,1.2300000000,,3.8450000000,0.0001000000,5.3740000000,0.0000000000,4.2870000000,0.0000000000,50.3830000000,0.0000000000,REJECTED
FP024,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP025,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FP026,REG_ISAN20,X13,3.0000000000,1.4940000000,0.4390000000,0.7030000000,2.1360000000,0.2910000000,2.0050000000,2.4120000000,0.5750000000,2.5880000000,1.9990000000,1.5900000000,,1.7970000000,0.0610000000,2.5050000000,0.0066000000,4.3820000000,0.0000000000,22.9950000000,0.0177000000,REJECTED
FP027,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU018,REG_ISAN20,X13,3.0000000000,3.0000000000,1.9260000000,0.1760000000,3.0000000000,1.1790000000,1.4880000000,1.2080000000,0.8440000000,1.2430000000,1.1760000000,1.7000000000,,1.8440000000,0.0532000000,2.6350000000,0.0043000000,1.5540000000,0.1211000000,16.1500000000,0.1356000000,REJECTED
FU019,REG_ISAN20,STL_FALLBACK,,,,,,,,,,,,,,,,,,,,,,
FU020,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU021,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU022,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU023,REG_ISAN20,X13,2.4800000000,1.4470000000,1.8370000000,0.1760000000,1.6410000000,0.0760000000,1.5960000000,1.4430000000,1.1470000000,1.9680000000,1.8680000000,1.4100000000,,5.4470000000,0.0000000000,5.5770000000,0.0000000000,7.1360000000,0.0000000000,47.2240000000,0.0000000000,REJECTED
FU024,REG_ISAN20,X13,3.0000000000,3.0000000000,1.4090000000,1.2310000000,3.0000000000,0.2270000000,2.6410000000,2.2660000000,1.1710000000,3.0000000000,3.0000000000,2.0800000000,,1.3110000000,0.2258000000,1.4150000000,0.1724000000,4.5420000000,0.0000000000,13.4020000000,0.2679000000,REJECTED
FU025,REG_ISAN20,X13,3.0000000000,3.0000000000,2.2610000000,0.1760000000,3.0000000000,0.6230000000,2.2760000000,1.9990000000,1.1660000000,2.6070000000,2.3040000000,1.9800000000,,1.5020000000,0.1386000000,1.9120000000,0.0426000000,4.2720000000,0.0000000000,14.4590000000,0.2086000000,REJECTED
FU026,REG_ISAN20,NO_SIGNAL,,,,,,,,,,,,,,,,,,,,,,
FU027,REG_ISAN20,X13,3.0000000000,3.0000000000,2.0490000000,1.9090000000,3.0000000000,0.2070000000,2.4080000000,2.1560000000,1.5130000000,3.0000000000,3.0000000000,2.1800000000,,1.2990000000,0.2321000000,1.2220000000,0.2777000000,2.3900000000,0.0102000000,17.9620000000,0.0825000000,REJECTED
TP005,REG_ISAN20,X13,2.5080000000,0.1270000000,0.4720000000,0.0500000000,0.5030000000,0.7290000000,1.4940000000,1.4940000000,0.9290000000,1.4690000000,1.2620000000,1.1000000000,,2.2990000000,0.0133000000,3.0980000000,0.0009000000,2.2760000000,0.0146000000,35.7060000000,0.0002000000,CONDITIONALLY REJECTED
TP006,REG_ISAN20,X13,3.0000000000,1.7100000000,0.9830000000,0.1760000000,1.2060000000,0.4460000000,1.6000000000,1.9120000000,0.8970000000,1.8410000000,1.5840000000,1.3600000000,,1.9850000000,0.0350000000,1.9850000000,0.0341000000,1.0560000000,0.4030000000,25.9160000000,0.0067000000,REJECTED
TU006,REG_ISAN20,X13,3.0000000000,3.0000000000,2.5760000000,0.7280000000,3.0000000000,0.9130000000,2.2750000000,1.9780000000,0.9750000000,2.4120000000,1.9230000000,2.0500000000,,1.4130000000,0.1746000000,1.6890000000,0.0818000000,3.4960000000,0.0003000000,21.1840000000,0.0315000000,REJECTED
