Month,Scope,Case_ID,Tier,Case_Type,Segment,Factor,Case_Name_TH,Input_Rebased,SA,SA_Floored,SA_Rebased,MA3_Centered
2022-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,76.0243114493,76.0243114493,82.2458562940,80.2318949204
2022-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,72.4137931034,72.6172810581,72.6172810581,78.5600072992,80.3888289709
2022-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,74.2816882307,74.2816882307,80.3606233196,77.0861790988
2022-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,58.6206896552,66.8658555538,66.8658555538,72.3379066777,77.3376124999
2023-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,67.8160919540,73.3145216992,73.3145216992,79.3143075024,79.8087742559
2023-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,78.1609195402,81.1343752637,81.1343752637,87.7741085876,85.9289753602
2023-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,83.9080459770,83.8375582942,83.8375582942,90.6985099905,90.8492876246
2023-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,87.3563218391,86.9588571907,86.9588571907,94.0752442956,94.8471495655
2023-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,98.8505747126,92.2206979681,92.2206979681,99.7676944102,97.9476462353
2023-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,100.0000000000,92.4354306404,92.4354306404,100.0000000000,97.5210081690
2023-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,87.3563218391,85.7757629891,85.7757629891,92.7953300967,96.4450072816
2023-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,90.8045977011,89.2368798061,89.2368798061,96.5396917479,93.6862872691
2023-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,85.0574712644,84.7853264694,84.7853264694,91.7238399626,95.0022509058
2023-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,89.6551724138,89.4250129529,89.4250129529,96.7432210067,93.1707083889
2023-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,83.9080459770,84.1578971678,84.1578971678,91.0450641975,93.1854703643
2023-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,77.0114942529,84.8262623559,84.8262623559,91.7681258888,89.5637344988
2024-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,73.5632183908,79.3817115212,79.3817115212,85.8780134102,85.7971045629
2024-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,70.1149425287,73.7127953620,73.7127953620,79.7451743897,80.0678424859
2024-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,67.8160919540,68.9386581357,68.9386581357,74.5803396577,78.3459033833
2024-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,74.7126436782,74.6066660466,74.6066660466,80.7121961024,77.0658256396
2024-05,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,70.1630592374,70.1630592374,75.9049411588,77.1525921533
2024-06,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,75.8620689655,69.1792671374,69.1792671374,74.8406391988,76.2878377910
2024-07,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,74.7126436782,72.2086477902,72.2086477902,78.1179330155,77.6320199972
2024-08,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,77.0114942529,73.8905610702,73.8905610702,79.9374877774,77.3380116093
2024-09,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,68.9655172414,68.3639633788,68.3639633788,73.9586140349,73.8523443754
2024-10,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,63.2183908046,62.5426732353,62.5426732353,67.6609313139,69.9992525400
2024-11,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,63.2183908046,63.2056949770,63.2056949770,68.3782122711,67.0094583082
2024-12,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,52.8735632184,60.0730758587,60.0730758587,64.9892313397,66.0870356283
2025-01,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,54.0229885057,59.9847371058,59.9847371058,64.8936632741,64.3219635012
2025-02,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,54.0229885057,58.3110389117,58.3110389117,63.0829958899,62.4003088757
2025-03,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,52.8735632184,54.7442066732,54.7442066732,59.2242674631,59.8607219810
2025-04,TH,FP001,T1,keyword,Formal,Pull,สินเชื่อส่วนบุคคล,52.8735632184,52.9423028578,52.9423028578,57.2749025899,55.9017195393
